Build Order,Object Type,Exact Name,Field,Exact Value,Status,Notes
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Creative File,IMB_MV_RP_Static_03_AngelicaFrontDesk.png,PAUSED/DRAFT,Source: angelica/ad-treatment-e-4x5.png
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,On-image Headline,Meet Angelica,PAUSED/DRAFT,Must appear on final creative
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Supporting Line,Front Desk Assistant · available to interview,PAUSED/DRAFT,Must appear on final creative
6,Ad,IMB_MV_RP_Static_03_AngelicaFrontDesk,Notes,Pain in primary text. Hire framing only.,PAUSED/DRAFT,
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Ad Name,IMB_MV_RP_Static_04_MarkVerification,PAUSED/DRAFT,Mark · Insurance verification
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Primary Text,"Insurance verification can pull your team away from patients.

Meet Mark — an Insurance Verification Specialist available through MedVirtual. Hire a dedicated full-time virtual staff member for eligibility and verification support.

Book a demo to request an interview.",PAUSED/DRAFT,Paste into Meta Body / Primary text
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Headline,Verification Work Piling Up?,PAUSED/DRAFT,Meta Title / Headline
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Description,Insurance verification talent from MedVirtual.,PAUSED/DRAFT,
7,Ad,IMB_MV_RP_Static_04_MarkVerification,CTA,Book a Demo,PAUSED/DRAFT,Book a Demo
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Destination,IMB_MV_Form_BookDemo_RealPeople,PAUSED/DRAFT,Shared Instant Form
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Creative File,IMB_MV_RP_Static_04_MarkVerification.png,PAUSED/DRAFT,Source: mark/ad-treatment-e-4x5.png
7,Ad,IMB_MV_RP_Static_04_MarkVerification,On-image Headline,Meet Mark,PAUSED/DRAFT,Must appear on final creative
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Supporting Line,Insurance Verification Specialist · available to interview,PAUSED/DRAFT,Must appear on final creative
7,Ad,IMB_MV_RP_Static_04_MarkVerification,Notes,No outcome guarantees. No Treatment C/D.,PAUSED/DRAFT,
